"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: N","Param: Q"
"com.alex.CompareByN.iterative","thrpt",1,20,96984338.294389,579650.542488,"ops/s",1,5
"com.alex.CompareByN.iterative","thrpt",1,20,11167705.163627,2051.434613,"ops/s",1,50
"com.alex.CompareByN.iterative","thrpt",1,20,1103493.406121,363.895106,"ops/s",1,500
"com.alex.CompareByN.iterative","thrpt",1,20,10663845.625101,6660.963583,"ops/s",10,5
"com.alex.CompareByN.iterative","thrpt",1,20,1119785.706729,472.744126,"ops/s",10,50
"com.alex.CompareByN.iterative","thrpt",1,20,110367.282940,64.305280,"ops/s",10,500
"com.alex.CompareByN.iterative","thrpt",1,20,1061532.510931,533.430898,"ops/s",100,5
"com.alex.CompareByN.iterative","thrpt",1,20,112941.629990,79.932758,"ops/s",100,50
"com.alex.CompareByN.iterative","thrpt",1,20,11042.609428,5.623419,"ops/s",100,500
"com.alex.CompareByN.iterative","thrpt",1,20,107043.458801,72.459428,"ops/s",1000,5
"com.alex.CompareByN.iterative","thrpt",1,20,11285.304137,4.345721,"ops/s",1000,50
"com.alex.CompareByN.iterative","thrpt",1,20,1105.567567,0.263553,"ops/s",1000,500
"com.alex.CompareByN.iterative","thrpt",1,20,10777.326341,6.312382,"ops/s",10000,5
"com.alex.CompareByN.iterative","thrpt",1,20,1135.122681,0.530110,"ops/s",10000,50
"com.alex.CompareByN.iterative","thrpt",1,20,110.549478,0.054709,"ops/s",10000,500
"com.alex.CompareByN.iterative","thrpt",1,20,1114.194158,0.468157,"ops/s",100000,5
"com.alex.CompareByN.iterative","thrpt",1,20,113.617907,0.059977,"ops/s",100000,50
"com.alex.CompareByN.iterative","thrpt",1,20,11.052449,0.005490,"ops/s",100000,500
"com.alex.CompareByN.iterative","thrpt",1,20,109.577227,0.226431,"ops/s",1000000,5
"com.alex.CompareByN.iterative","thrpt",1,20,11.310347,0.010872,"ops/s",1000000,50
"com.alex.CompareByN.iterative","thrpt",1,20,1.104559,0.000715,"ops/s",1000000,500
"com.alex.CompareByN.parallel","thrpt",1,20,13299683.353376,56586.988920,"ops/s",1,5
"com.alex.CompareByN.parallel","thrpt",1,20,6338959.365890,8172.933809,"ops/s",1,50
"com.alex.CompareByN.parallel","thrpt",1,20,1013767.885976,600.148194,"ops/s",1,500
"com.alex.CompareByN.parallel","thrpt",1,20,248812.295157,837.795753,"ops/s",10,5
"com.alex.CompareByN.parallel","thrpt",1,20,216263.553564,1292.003998,"ops/s",10,50
"com.alex.CompareByN.parallel","thrpt",1,20,110622.046444,285.153103,"ops/s",10,500
"com.alex.CompareByN.parallel","thrpt",1,20,116508.991001,332.833643,"ops/s",100,5
"com.alex.CompareByN.parallel","thrpt",1,20,119221.958495,597.663435,"ops/s",100,50
"com.alex.CompareByN.parallel","thrpt",1,20,31194.840343,83.847692,"ops/s",100,500
"com.alex.CompareByN.parallel","thrpt",1,20,102521.999642,402.174765,"ops/s",1000,5
"com.alex.CompareByN.parallel","thrpt",1,20,31211.547315,158.778298,"ops/s",1000,50
"com.alex.CompareByN.parallel","thrpt",1,20,4027.944672,9.768487,"ops/s",1000,500
"com.alex.CompareByN.parallel","thrpt",1,20,30236.404419,116.731088,"ops/s",10000,5
